               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.025298,            0.011344,                   0,             0.92805,             0.87117,              0.9051,             0.51803,            0.029127,           0.0058459,                   0,            0.006064,            0.006064,            0.006064
                  71,            0.026589,            0.011574,                   0,             0.93546,             0.88957,             0.94232,             0.52943,            0.028704,            0.005684,                   0,           0.0059704,           0.0059704,           0.0059704
                  72,            0.026061,            0.012054,                   0,             0.95031,             0.93857,             0.95946,             0.52246,             0.02955,           0.0055119,                   0,           0.0058766,           0.0058766,           0.0058766
                  73,            0.026736,            0.012233,                   0,             0.92062,             0.92638,             0.94541,             0.55661,            0.028246,           0.0056644,                   0,           0.0057826,           0.0057826,           0.0057826
                  74,            0.025585,            0.010545,                   0,             0.94256,             0.90798,             0.95195,             0.54132,            0.028914,           0.0057197,                   0,           0.0056884,           0.0056884,           0.0056884
                  75,            0.024867,            0.012213,                   0,             0.94155,             0.88946,             0.94629,             0.54318,            0.028593,           0.0056449,                   0,           0.0055942,           0.0055942,           0.0055942
                  76,            0.025412,            0.012135,                   0,             0.94229,             0.90155,             0.94213,             0.52744,            0.029196,           0.0058324,                   0,              0.0055,              0.0055,              0.0055
                  77,            0.024895,            0.012096,                   0,             0.95495,             0.91411,             0.96461,             0.54488,            0.027495,           0.0055934,                   0,           0.0054058,           0.0054058,           0.0054058
                  78,             0.02575,            0.011328,                   0,             0.92992,             0.89571,             0.94894,              0.5272,            0.029701,            0.005728,                   0,           0.0053116,           0.0053116,           0.0053116
                  79,            0.025719,            0.012324,                   0,             0.92024,             0.92019,             0.95474,             0.52491,             0.02867,            0.005773,                   0,           0.0052174,           0.0052174,           0.0052174
                  80,            0.025646,            0.012213,                   0,             0.92546,               0.914,              0.9447,             0.50275,            0.029954,           0.0057924,                   0,           0.0051234,           0.0051234,           0.0051234
                  81,            0.025056,            0.011743,                   0,             0.96704,             0.90184,             0.96588,             0.53555,            0.029094,           0.0057279,                   0,           0.0050296,           0.0050296,           0.0050296
                  82,            0.024202,            0.011606,                   0,             0.95453,             0.90184,             0.96177,             0.54766,            0.027041,           0.0056445,                   0,            0.004936,            0.004936,            0.004936
                  83,            0.024965,            0.010844,                   0,             0.95156,             0.84663,             0.95015,             0.51649,            0.029771,           0.0060248,                   0,           0.0048426,           0.0048426,           0.0048426
                  84,            0.025219,            0.011554,                   0,              0.9056,             0.88344,             0.93728,             0.52586,            0.028958,           0.0061382,                   0,           0.0047495,           0.0047495,           0.0047495
                  85,            0.025072,            0.011627,                   0,             0.90675,             0.89479,             0.92287,             0.50023,            0.029525,           0.0058203,                   0,           0.0046568,           0.0046568,           0.0046568
                  86,            0.023702,            0.010619,                   0,             0.91816,             0.89571,             0.95041,             0.52745,            0.029502,           0.0057519,                   0,           0.0045644,           0.0045644,           0.0045644
                  87,            0.023948,            0.012494,                   0,             0.95967,              0.8773,             0.94802,             0.52166,            0.028869,           0.0060342,                   0,           0.0044724,           0.0044724,           0.0044724
                  88,             0.02424,            0.010421,                   0,             0.94751,             0.88957,             0.95987,             0.53026,            0.029304,           0.0057551,                   0,           0.0043809,           0.0043809,           0.0043809
                  89,            0.023822,            0.010987,                   0,             0.93169,             0.92638,             0.95727,             0.50299,            0.029607,           0.0059059,                   0,           0.0042899,           0.0042899,           0.0042899
                  90,            0.023996,            0.011149,                   0,             0.93081,             0.90788,              0.9529,             0.52309,            0.028623,           0.0060178,                   0,           0.0041994,           0.0041994,           0.0041994
                  91,            0.023583,            0.010351,                   0,              0.9375,             0.92021,             0.95672,             0.54056,             0.02902,           0.0061227,                   0,           0.0041094,           0.0041094,           0.0041094
                  92,            0.023391,            0.010834,                   0,             0.94194,              0.8957,              0.9483,             0.52566,            0.029149,           0.0062082,                   0,           0.0040201,           0.0040201,           0.0040201
                  93,            0.023694,            0.010707,                   0,             0.91512,             0.92638,              0.9414,             0.51823,            0.029128,           0.0061043,                   0,           0.0039314,           0.0039314,           0.0039314
                  94,            0.022945,            0.011944,                   0,             0.94304,             0.91407,             0.94819,              0.5133,            0.029239,           0.0058622,                   0,           0.0038434,           0.0038434,           0.0038434
                  95,             0.02366,            0.011756,                   0,             0.92936,             0.88957,             0.93153,             0.50676,            0.028815,           0.0059856,                   0,           0.0037562,           0.0037562,           0.0037562
                  96,            0.022395,            0.010586,                   0,             0.93589,             0.89554,             0.95105,             0.50975,            0.029435,           0.0058141,                   0,           0.0036697,           0.0036697,           0.0036697
                  97,            0.023517,            0.012281,                   0,             0.91687,             0.88344,             0.93353,             0.53235,            0.028212,           0.0061092,                   0,            0.003584,            0.003584,            0.003584
                  98,            0.022912,            0.010466,                   0,             0.92447,             0.90184,             0.93932,             0.52174,            0.029415,           0.0059371,                   0,           0.0034991,           0.0034991,           0.0034991
                  99,            0.022772,            0.010818,                   0,             0.90819,             0.91411,             0.93792,             0.50812,            0.029518,           0.0061485,                   0,           0.0034152,           0.0034152,           0.0034152
                 100,            0.023116,             0.01113,                   0,             0.97241,             0.86496,             0.94647,             0.53027,            0.029459,           0.0057839,                   0,           0.0033321,           0.0033321,           0.0033321
                 101,            0.022551,            0.011366,                   0,             0.92307,             0.88339,             0.93913,             0.50952,            0.029023,           0.0061753,                   0,             0.00325,             0.00325,             0.00325
                 102,            0.022061,           0.0099393,                   0,             0.90908,             0.92016,             0.94444,             0.52942,            0.028817,            0.005968,                   0,           0.0031689,           0.0031689,           0.0031689
                 103,            0.021955,            0.011445,                   0,             0.93958,              0.8587,             0.94213,             0.51587,            0.029095,           0.0062141,                   0,           0.0030888,           0.0030888,           0.0030888
                 104,            0.022385,            0.011029,                   0,             0.96527,             0.85276,             0.93598,             0.52072,            0.029158,           0.0058691,                   0,           0.0030097,           0.0030097,           0.0030097
                 105,            0.022988,            0.011149,                   0,             0.94732,             0.88344,             0.94528,             0.49575,            0.030089,           0.0060118,                   0,           0.0029318,           0.0029318,           0.0029318
                 106,            0.023363,            0.011075,                   0,             0.93505,             0.88344,             0.93638,             0.51535,            0.029054,           0.0060693,                   0,            0.002855,            0.002855,            0.002855
                 107,            0.022592,            0.010347,                   0,             0.95332,              0.8773,             0.93781,             0.52257,             0.02891,           0.0058888,                   0,           0.0027793,           0.0027793,           0.0027793
                 108,            0.022328,            0.010635,                   0,              0.9212,             0.93239,             0.95314,              0.5359,            0.029111,           0.0058581,                   0,           0.0027048,           0.0027048,           0.0027048
                 109,            0.021421,             0.01052,                   0,             0.93589,             0.89553,             0.94841,             0.52567,            0.029564,           0.0060308,                   0,           0.0026316,           0.0026316,           0.0026316
                 110,            0.021172,            0.010436,                   0,             0.90194,             0.90798,             0.93929,             0.52289,            0.030463,           0.0060382,                   0,           0.0025596,           0.0025596,           0.0025596
                 111,            0.021161,            0.010087,                   0,             0.87856,             0.93252,             0.94038,              0.5024,            0.029126,           0.0061283,                   0,           0.0024889,           0.0024889,           0.0024889
                 112,            0.020957,           0.0096589,                   0,             0.93082,             0.90794,             0.95357,             0.53275,             0.02856,           0.0059062,                   0,           0.0024195,           0.0024195,           0.0024195
                 113,            0.022023,            0.011038,                   0,             0.90894,             0.92025,             0.94976,             0.53719,            0.029379,           0.0058589,                   0,           0.0023515,           0.0023515,           0.0023515
                 114,            0.021023,            0.009692,                   0,             0.90981,             0.93252,             0.94528,             0.52097,            0.029744,           0.0058408,                   0,           0.0022849,           0.0022849,           0.0022849
                 115,            0.020911,            0.010017,                   0,             0.94267,             0.90795,             0.95115,             0.51782,            0.029159,           0.0059547,                   0,           0.0022196,           0.0022196,           0.0022196
                 116,            0.021656,            0.010978,                   0,             0.90952,             0.92638,             0.94235,             0.51228,            0.029223,           0.0059675,                   0,           0.0021558,           0.0021558,           0.0021558
                 117,            0.020835,           0.0099071,                   0,             0.94193,             0.89554,             0.93896,             0.50688,            0.029497,           0.0060477,                   0,           0.0020935,           0.0020935,           0.0020935
                 118,            0.020614,             0.01038,                   0,             0.93198,             0.92638,             0.94217,             0.51296,             0.02931,           0.0059015,                   0,           0.0020327,           0.0020327,           0.0020327
                 119,            0.020391,            0.010075,                   0,             0.89144,             0.90798,             0.91761,             0.51668,            0.029971,           0.0062172,                   0,           0.0019734,           0.0019734,           0.0019734
                 120,            0.020663,           0.0094844,                   0,             0.88301,             0.92615,             0.91909,             0.52223,            0.029298,           0.0060476,                   0,           0.0019156,           0.0019156,           0.0019156
                 121,            0.020746,            0.010129,                   0,             0.91304,              0.9018,             0.92992,             0.51486,            0.029655,           0.0061365,                   0,           0.0018594,           0.0018594,           0.0018594
                 122,            0.020614,            0.010293,                   0,              0.9318,             0.92638,             0.94365,             0.51419,            0.029458,           0.0060207,                   0,           0.0018048,           0.0018048,           0.0018048
                 123,            0.020331,           0.0091589,                   0,             0.93506,              0.8834,             0.93214,             0.51091,            0.030009,            0.006309,                   0,           0.0017519,           0.0017519,           0.0017519
                 124,            0.020529,           0.0099582,                   0,             0.92022,             0.92025,             0.94994,             0.51842,            0.029507,           0.0061705,                   0,           0.0017005,           0.0017005,           0.0017005
                 125,            0.020534,           0.0095866,                   0,             0.93589,             0.89567,             0.94137,             0.51813,            0.029176,           0.0060254,                   0,           0.0016509,           0.0016509,           0.0016509
                 126,            0.020266,           0.0092481,                   0,             0.92589,             0.91978,             0.94065,             0.51724,            0.029461,           0.0061155,                   0,           0.0016029,           0.0016029,           0.0016029
                 127,            0.020085,           0.0094505,                   0,             0.92391,             0.89571,             0.92992,             0.52382,            0.029129,           0.0063026,                   0,           0.0015566,           0.0015566,           0.0015566
